ENTREZID	Symbol
73112	Abracl
19707	Reps1
100045792	Ect2l
215814	Ccdc28a
215819	Nhsl1
56016	Hebp2
215821	Arfgef3
237300	Gm4922
64058	Perp
21929	Tnfaip3
94222	Olig3
15979	Ifngr1
237310	Il22ra2
237313	Il20ra
76157	Slc35d3
18634	Pex7
26408	Map3k5
17761	Map7
73811	4930405J17Rik
621697	Rpl32l
72567	Bclaf1
71804	Mtfr2
29863	Pde7b
52906	Ahi1
17863	Myb
56422	Hbs1l
73990	4930455C13Rik
237320	Aldh8a1
67692	1700020N01Rik
432436	Gm5420
20393	Sgk1
114671	4930444G20Rik
319887	E030030I06Rik
379043	Raet1e
667281	H60b
56554	Raet1d
100038752	Gm10825
353169	Slc2a12
237336	Tbpl1
21412	Tcf21
14051	Eya4
20042	Rps12
100529074	Snora33
100529075	Snord100
76306	Slc18b1
26464	Vnn3
22361	Vnn1
111174	Taar1
209512	Taar2
493809	Taar3
209513	Taar4
215854	Taar5
215855	Taar6
215856	Taar7a
209517	Taar7b
435206	Taar7d
276742	Taar7e
435207	Taar7f
215859	Taar8a
382348	Taar8b
494546	Taar8c
503558	Taar9
53331	Stx7
59012	Moxd1
14219	Ccn2
18605	Enpp1
209558	Enpp3
70208	Med23
11846	Arg1
432442	Akap7
13822	Epb41l2
100504474	Smlr1
73803	4930401C15Rik
77220	Tmem200a
100040851	Gm9767
268288	Samd3
237339	L3mbtl3
667572	Gm8709
73910	Arhgap18
16773	Lama2
19272	Ptprk
210757	Themis
67719	2310057J18Rik
67412	Soga3
212448	9330159F19Rik
52665	Echdc1
68031	Rnf146
72780	Rspo3
66311	Cenpw
73681	Trmt11
100504586	Gm20300
66847	Hint3
211329	Ncoa7
15214	Hey2
69692	Hddc2
21987	Tpd52l1
268291	Rnf217
432450	Nkain2
76757	Trdn
442820	D830005E20Rik
215890	Clvs2
215895	Sult3a2
57430	Sult3a1
212892	Rsph4a
72580	Zup1
414093	A830082N09Rik
66521	Rwdd1
692132	Trappc3l
270711	Calhm4
103511	Calhm5
215900	Calhm6
212898	Dse
22110	Tspyl1
72480	Tspyl4
319638	Nt5dc1
12813	Col10a1
14302	Frk
100041585	Amd2
319415	Hs3st5
15182	Hdac2
17118	Marcks
215919	Rfpl4b
16775	Lama4
66337	Fam229b
71924	Tube1
327743	Ccn6
14360	Fyn
100504626	Gm16364
103213	Traf3ip2
